No,店名,住所,星評価(1-5),喫煙区分,営業時間,モーニング有無,夜営業有無,定休日,写真ファイル名,メモ
1,カフェレスト珊瑚礁,愛知県名古屋市南区星宮町124,5,禁煙,"月～木・土：06：30 - 17：00
日：07：00 - 17：00",あり,なし,金曜日,sangosho_01.jpg,優しいマスター・ウエイトレスとレトロな内装
2,和洋喫茶風月,埼玉県越谷市下間久里1088-4,5,禁煙,10：00 - 18：00,なし,なし,不定休,fugetu_01.jpg,1階ではケーキ等の販売、2階が喫茶店
3,マリンブルー,千葉県山武郡九十九里町西野1914-52,5,分煙,10：00 - 22：00,あり,あり,木曜日,marinblue_01.jpg,海辺にある喫茶店。ジャンボパフェは迫力満点
4,喫茶白鳥,東京都江戸川区南小岩7-26-2,4,全席喫煙可,08：00 - 19：00,あり,あり,月曜日,shiratori_01.jpg,小岩駅の目の前
5,チェリー,愛知県名古屋市中村区中村町6-33,4,分煙,06：30 - 18：00,あり,なし,金曜日,cherry_01.jpg,レトロでかわいい内装
6,ピッコロ,埼玉県久喜市中央4-1-48,4,分煙,09：00 - 20：00,あり,あり,水曜日,pikkoro_01.jpg,ミニとは思えないサイズ感のミニパフェ
7,喫茶ビーナス,奈良県橿原市醍醐町365-27,4,全席喫煙可,08:00 - 17:00,あり,なし,水曜日,venus_01.jpg,外装・内装ともにメルヘン
8,川道屋,大阪府大阪市平野区平野東1-7-25 サンエー 2F,5,禁煙,09:00 - 17:00,なし,なし,水曜日,kawamichiya_01.jpg,スーパーに併設されている喫茶店
9,にしむら珈琲店梅田店,大阪府大阪市北区曽根崎2-15-20 スイング梅田　１Ｆ,4,禁煙,08:30 - 23:00,あり,あり,月曜日,nishimura_01.jpg,神戸・大阪に複数店舗ある名店
10,コンパル金山店,愛知県名古屋市中区金山1-13-11 金山地下街,4,禁煙,08:00 - 19:00,あり,あり,無休,konparu_01.jpg,喫茶店激戦区・名古屋に複数店舗構える老舗
11,マルカンビル大食堂,岩手県花巻市上町6-2 マルカンビル6F,4,禁煙,"月・火・木・金:11:00 - 15:30
土・日・祝日:11:00 - 18:30",なし,なし,水曜日・不定休,marukan_01.jpg,岩手県民に長年愛されている食堂
12,未完成,岩手県盛岡市中ノ橋通1-5-20,5,禁煙,10:00 - 19:00,なし,あり,不定休,mikansei_01.jpg,もちもちのクレープがおすすめ
13,茶廊車門,岩手県盛岡市肴町5-7,4,禁煙,11:00 - 20:00,なし,あり,無休,shamon_01.jpg,蔵を改装した落ち着いた空間
14,プラスパ,岩手県盛岡市湯沢16-10-1,5,全席喫煙可,11:00 - 21:00,なし,あり,盆・正月,purasupa_01.jpg,地元民が集まる喫茶店
15,珈水亭,埼玉県熊谷市末広3-12-4,3,禁煙,08:00 - 17:00,あり,なし,無休,kosuitei_01.jpg,明治村の郵便局を模して建てられた洋館が魅力
16,ロベリヤ,栃木県宇都宮市峰町275-8,4,全席喫煙可,07:30 - 20:00,あり,あり,不定休,roberiya_01.jpg,宇都宮大学の学生も集まる
17,パーラー&喫茶 BC,栃木県宇都宮市駅前通り1-5-6,3,分煙,07:00 - 23:00,あり,あり,無休,bc_01.jpg,宇都宮駅の目の前
18,瓦斯灯,神奈川県藤沢市藤沢555 さいか屋藤沢店,4,禁煙,10:30 - 18:00,なし,なし,木曜日,gastou_01.jpg,商業施設内にある喫茶店
19,喫茶まりも,神奈川県川崎市中原区新丸子東1-785,5,禁煙,10:00 - 17:00,あり,なし,無休,marimo_01.jpg,ドラマの撮影にも使われている
20,紙風船,神奈川県鎌倉市大船2-24-21,4,全席喫煙可,09:00 - 19：45,あり,あり,不定休,kamifusen_01.jpg,ななめのグラスが人気
21,名曲･珈琲 新宿 らんぶる,東京都新宿区新宿3-31-3 １Ｆ・Ｂ１Ｆ,5,禁煙,09:30 - 23:00,あり（平日のみ）,あり,年末年始,ranburu_01.jpg,地下に広がる豪勢な内装
22,珈琲タイムス," 
東京都新宿区新宿3-35-11 タイムスビル 1F",3,全席喫煙可,"月・火・水・木・日:08:00 - 22:00
金・土:08:00 - 23:30",あり,あり,無休,times_01.jpg,都会の中にあるレトロ喫茶
23,coffee CisZ,東京都台東区西浅草2-25-11,4,全席喫煙可,"火:18:00 - 21:00
水・木・金・土・日：11:00 - 21:00",なし,あり,月曜日,cisz_01.jpg,星がついているクリームソーダが人気
24,ペガサス,東京都台東区西浅草3-1-10,3,分煙（土日は禁煙）,11:00 - 18:30,なし,あり,無休,pegasasu_01.jpg,浅草の老舗喫茶店
25,ノーベル,東京都中野区中野5-60-7 タイガープラザ 2F,4,禁煙,09:00 - 18:00,あり,なし,無休,novel_01.jpg,懐かしの大箱喫茶店
26,トリアノン洋菓子店高円寺本店,東京都杉並区高円寺南4-26-12 1F,3,禁煙,10:00 - 20:00,あり,あり,無休,torianon_01.jpg,プリンアラモードがおすすめ
27,珈琲貴族エジンバラ," 
東京都新宿区新宿3-2-4 新宿M&Eスクエアビル 2F",5,分煙,24時間営業,あり（月～土）,あり,無休,edinbara_01.jpg,24時間営業。素敵な接客。
28,純喫茶スワン,大阪府大阪市阿倍野区阿倍野筋1-3-19,4,全席喫煙可,"月・火・水・木・日:11:00 - 21:00
金・土:11:00 - 22:00",なし,あり,無休,swan_01.jpg,サラリーマン憩いの場
29,コーヒーショップクール,東京都新宿区歌舞伎町2-37-3 丸友ビル 2F,4,全席喫煙可,"月:00:00 - 07:00
　08:00 - 07:00
火・水・木・金:08:00 - 07:00
土・日:24時間営業",あり,あり,無休,cool_01.jpg,24時間営業。
30,カフェテラス小島屋,東京都新宿区若松町32-1 プラザ小島屋 2F,3,全席喫煙可（電子のみ）,09:30 - 18:00,あり,なし,土日,kojimaya_01.jpg,窓際から見える景色がおすすめ
31,ピース,東京都新宿区西新宿1-5-1 新宿西口ハルク 1Ｆ,4,全席喫煙可,11:00 - 21:30,なし,あり,新宿西口ハルクに準ずる,peace_01.jpg,都会のオアシス
32,珈琲パーラージョイ,埼玉県春日部市大場1105-4,4,禁煙,09:00 - 18:00,あり,なし,火曜日・祝日,joy_01.jpg,昭和レトロを楽しめる
33,シャモニーモンブラン,広島県広島市中区堀川町3-17,3,全席喫煙可,08:00 - 21:00,あり,あり,無休,shamoni-_01.jpg,老若男女が集まる店
34,オレゴン,広島県広島市中区銀山町6-21,4,全席喫煙可,"月～金:07:30 - 16:00
土・日:08:00 - 14:00",あり,なし,不定休,oregon_01.jpg,優しいおばあさんが接客
35,カフェテラスポピー,福岡県福岡市中央区天神1-4-1,3,全席喫煙可,09:00 - 18:00,あり,なし,不定休,poppy_01.jpg,天神駅直結の喫茶店
36,ローレル,東京都新宿区新宿3-28-14,4,分煙,"月・火・木・金:11:00 - 19:00
土・日・祝日:11:00 - 20:00",なし,あり,水曜日,laurel_01.jpg,1947年開店の老舗
37,サガン,神奈川県横浜市港北区綱島西1-6-15,4,全席喫煙可,"平日:9:00 - 21:00
日祝:9:00 - 20:00",あり,あり,土曜日,sagan_01.jpg,大ボリュームのプリンアラモード
38,横浜第二合同庁舎　喫茶室,神奈川県横浜市中区北仲通5-57 横浜第二合同庁舎1F,3,禁煙,07:00 - 18:00,あり,なし,土日祝,chousha_01.jpg,合同庁舎の1階に併設の喫茶店
39,馬車道十番館 横浜美術館 喫茶室,神奈川県横浜市西区みなとみらい3-4-1,4,禁煙,10:00 - 18:00,なし,なし,木曜日,bashamichi_01.jpg,横浜美術館に併設された喫茶店
40,アベニュー,愛知県名古屋市千種区神田町31-1,4,禁煙,06:30 - 17:30,あり,なし,不定休,avenue_01.jpg,夫婦が営む喫茶店
41,珈琲西武 西新宿店,東京都新宿区西新宿7-9-16 西新宿メトロビル 2F,4,禁煙,"月～土:11:00 - 21:30
日:11:00 - 21:00",なし,あり,無休,seibu_01.jpg,都会のオアシス
42,ドルフィン,宮城県白石市沢目8-7,4,禁煙,10:30 - 20:00,あり,あり,木曜日,dolphin_01.jpg,東北ずん子のパネルが飾られている
43,エルベ,宮城県仙台市青葉区一番町1-1-30,4,全席喫煙可,"11:30 - 17:00
（不定で17：30 - 21：00も営業）",なし,あり,日曜日,elbe_01.jpg,色が選べるクリームソーダがおすすめ
44,どんぐり,宮城県仙台市青葉区国分町2-8-11 パインガーデンビル 1F,4,全席喫煙可,12:00 - 20:00,なし,あり,日曜・祝日,donguri_01.jpg,マスターが一人で切り盛りする喫茶店
45,喫茶クラウン,埼玉県川口市芝新町3-19,3,全席喫煙可,08:00 - 21:00,あり,あり,日曜日,kuraun_01.jpg,シャンデリアや螺旋階段がある豪華な内装
46,ウエスト,埼玉県さいたま市大宮区桜木町2-3,3,全席喫煙可,10:00 - 20:00,なし,あり,不定休,west_01.jpg,大宮駅直結の商業施設に併設する喫茶店
47,埼玉屋,埼玉県さいたま市浦和区東仲町1-20 埼玉屋ビル2F,4,全席喫煙可,10:00 - 19:00,なし,あり,日曜日,saitamaya_01.jpg,レトロな電話ボックスがある喫茶店
48,カフェ・アジール,静岡県熱海市田原本町8-5 2F,4,全席喫煙可,09:00 - 19:00,あり,あり,不定休,agir_01.jpg,熱海駅前の大人気店
49,パインツリー,静岡県熱海市銀座町7-7,4,禁煙,11:00 - 15:00,なし,なし,不定休,pinetree_01.jpg,煙のでるパフェが有名
50,ミチ,兵庫県姫路市呉服町69,4,禁煙,09:00 - 17:30,あり,なし,日曜日,michi_01.jpg,ハートや星形のグラスがかわいい
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
